book_id,title,name_author,gender_author,nationality_author,publisher,perspective ,filename,OCR kwaliteit,
120,Bericht uit het Hiernamaals,"Vestdijk, Simon",0,0,De Bezige Bij,1,1964_Vestdijk_Berichtuithethiernamaals_verbeterd.txt,,
121,Het genadeschot,"Vestdijk, Simon",0,0,Nijgh & Van Ditmar,1,1964_Vestdijk_Hetgenadeschot_verbeterd.txt,,
122,Wegens verjaardag gesloten,"Alings, Wim",0,0,Contact,2,1965_Alings_Wegenverjaardaggesloten_verbeterd.txt,,
123,Stukjes en beetjes,"Bernlef, J",0,0,Querido,2,1965_Bernlef_Stukjesenbeetjes_verbeterd.txt,,
124,De Golbertons,"Bordewijk, F",0,0,Nijgh & Van Ditmar,2,1965_Bordewijk_Degolbertons_verbeterd.txt,,
125,"Zij, Ans Bremer","Bremer, Ans",0,0,de algemene nederlandse uitgeverij,1,1965_Bremer_Zijansbremer_verbeterd.txt,,
126,Een tevreden lach,"Burnier, Andreas",1,0,Querido,1,1965_Burnier_Eentevredenlach.txt,,
128,Maanlicht en middagzon,"Ferguson, Margaretha",1,0,De Bezige Bij,3,1965_Ferguson_Maanlichtenmiddagzon_annotated.txt,An + Alfred (personages) soms met spatie,
129,De weerspanninge naaktschrijver,"Geel, Rudolf",0,0,Nijgh & Van Ditmar,1,1965_Geel_Deweerspannigenaaktschrijver_verbeterd.txt,,
130,Harmagedon,"Gijsen, Marnix",0,1,J.M. Meulenhoff,1,1965_Gijsen_Harmagedon.txt,,
131,Het groene mutsje,"Graaff, Barend de",0,0,Zomer & Keuning,2,1965_Graaff_Hetgroenemutsje_verbeterd.txt,"Soms te veel spaties, boe ipv hoe",
132,De witte bungalow,"Hidding, Johan",0,0,J. H. Kok,2,1965_Hidding_Dewittebungalow_verbeterd.txt,,
133,En de boer hij ploegde voort,"Hollander-Bronder, W den",1,0,Kosmos,1,1965_HollanderBronder_Endeboerhijploegdevoort_verbeterd.txt,,
134,De stervende dode,"Kerkwijk, Henk van",0,0,J.M. Meulenhoff,2,1965_Kerkwijk_Destervendedode_verbeterd.txt,,
135,Mikken op de voorruit,"Koelewijn, L.A.",0,0,Querido,2,1965_Koelewijn_Mikkenopdevoorruit_verbeterd.txt,,
136,Het licht springt op rood,"Kray-Sijsma, Cateau",1,0,J. H. Kok,2,1965_KraySijsma_Hetlichtspringtoprood_verbeterd.txt,of' met spatie,
137,De wapenbroeders,"Loeff, Paul van der",0,0,Contact,1,1965_Loeff_Dewapenbroeders_verbeterd.txt,"er (28x), o f (43x), e n (147x) met spatie",
