book_id,character_id,name,gender,Opmer,Opmer,Opmer,
26,10,Chris,1,,,,
26,11,Claude,1,,,,
26,12,Joachim,1,,,,
26,13,Sonja,2,,,,
27,1,Peter,1,,,,
27,2,Garo,1,,,,
27,3,Rim,1,,,,
27,4,Bleek,1,,,,
27,5,Claude,1,,,,
27,6,Alfred,1,,,,
28,1,Ik,1,,,,
28,2,Joop,1,,,,
28,3,Maartje,2,,,,
28,4,Wilhelmus,1,,,,
28,5,Bram,1,,,,
28,6,Elsje,2,,,,
28,7,Johannes,1,,,,
28,8,Abraham,1,,,,
29,1,Ik,1,,,,
29,2,mijn vader,1,,,,
29,3,Rein,1,,,,
29,4,P.,1,,,,
29,5,Salim,1,,,,
29,6,Lennart,1,,,,
29,7,K.,1,,,,
29,8,Hans,1,,,,
29,9,Marjolein,2,,,,
30,1,Gilles,1,,,,
30,2,Puck,2,,,,
30,3,Toto,1,,,,
30,4,Kees,1,,,,
30,5,Truida,2,,,,
30,6,Han,1,,,,
30,7,Arno,1,,,,
30,8,Yvonne,2,,,,
30,9,Frits,1,,,,
30,10,Liza,2,,,,
30,11,Mina,2,,,,
30,12,mevrouw Diericx,2,,,,
30,13,meneer Diericx,1,,,,
30,14,Delfine,2,,,,
30,15,Paul,1,,,,
30,16,Daniël,1,,,,
30,17,Smith,1,,,,
30,18,Zilla,2,,,,
30,19,Glory,2,,,,
30,20,Anna,2,,,,
30,21,Celia,2,,,,
30,22,Heiltje,2,,,,
30,23,Leo,1,,,,
30,24,Stefanie,2,,,,
31,1,Ada,2,,,,
31,2,Marion,2,,,,
31,3,Frits,1,,,,
31,4,Rob,1,,,,
31,5,Jeanet,2,,,,
31,6,Leo,1,,,,
31,7,Ina,2,,,,
31,8,Dolf,1,,,,
31,9,Jo,2,,,,
31,10,Maarten,1,,,,
31,11,Willem,1,,,,
31,12,Kareltje,1,,,,
31,13,Nelly,2,,,,
31,14,Geert,1,,,,
31,15,Chris,1,,,,
31,16,Hilda,2,,,,
31,17,Loesje,1,,,,
31,18,Lily,2,,,,
31,19,Deetje,2,,,,
31,20,Millie,2,,,,
31,21,Bep,2,,,,
32,1,Helena,2,,,,
32,2,Edward,1,,,,
32,3,Anne,2,,,,
32,4,Marie,2,,,,
32,5,Maurice,1,,,,
32,6,Jacques,1,,,,
32,7,Bernard,1,,,,
32,8,Charles,1,,,,
32,9,Pierre,1,,,,
32,10,Marcel,1,,,,
32,11,Henri,1,,,,
32,12,Jean,1,,,,
32,13,Bernadette,2,,,,
32,14,José,1,,,,
32,15,Madame d'Albert,2,,,,
33,1,Lucie,2,,,,
33,2,Ebbinge,1,,,,
33,3,Frau Ebbinger,2,,,,
33,4,Anna,2,,,,
33,5,Charles,1,,,,
33,6,Babs,2,,,,
33,7,Mathias,1,,,,
33,8,Wilhelm,1,,,,
33,9,Georg,1,,,,
33,10,Toni,1,,,,
33,11,Henk,1,,,,
33,12,Karl,1,,,,
33,13,Kathi,2,,,,
33,14,Frau Hiller,2,,,,
34,1,Matty,1,,,,
34,2,Eileen,2,,,,
34,3,Rinie,2,,,,
34,4,Mortimer,1,,,,
34,5,Winnie,1,,,,
34,6,Ditzy,1,,,,
34,7,Oscar,1,,,,
34,8,Hennie,2,,,,
34,9,Saskia,2,,,,
34,10,Erzilia,2,,,,
34,11,Stikkelorum,1,,,,
34,12,Algie,1,,,,
35,1,Jan,1,,,,
35,2,Jacob,1,,,,
35,3,Fokke,1,,,,
35,4,Beaat,2,,,,
35,5,Max,1,,,,
35,6,David,1,,,,
35,7,Melia,2,,,,
35,8,Kerlien,2,,,,
35,9,Nard,1,,,,
35,10,Lien,2,,,,
35,11,Wijnand,1,,,,
35,12,Marie,2,,,,
35,13,Dries,1,,,,
35,14,Zjoken,2,,,,
35,15,Frans,1,,,,
35,16,Flor,1,,,,
35,17,Rosalie,2,,,,
35,18,Valerie,2,,,,
35,19,Jeske,1,,,,
35,20,Dora,2,,,,
35,21,Liza,2,,,,
35,22,Lucas,1,,,,
35,23,Felix,1,,,,
35,24,Naat,1,,,,
35,25,Joep,1,,,,
36,1,Theo,1,,,,
36,2,Stine,2,,,,
36,3,Inga,2,,,,
36,4,Oom Haring,1,,,,
36,5,Anka,2,,,,
36,6,Dorus,1,,,,
36,7,Bé,2,,,,
36,8,neef Peters,1,,,,
36,9,Louis,1,,,,
36,10,Mondriaan,1,,,,
36,11,Eysinga,1,,,,
36,12,Gerrit,1,,,,
36,13,Nadia,2,,,,
36,14,meester Colenbrander,1,,,,
36,15,Tom,1,,,,
36,16,Hanny,2,,,,
36,17,Peter,1,,,,
36,18,Herman,1,,,,
36,19,Mieke,2,,,,
37,1,Ik,1,,,,
37,2,Odysseus,1,,,,
37,3,Circe,2,,,,
37,4,Jan,1,,,,
37,5,Sirenen,99,,,,
37,6,Paolo,1,,,,
37,7,Pietro,1,,,,
37,8,Homeros,1,,,,
37,9,Signora Zancani,2,,,,
37,10,Nestor,1,,,,
37,11,Arturo,1,,,,
37,12,Carmen,2,,,,
37,13,Amadeo,1,,,,
37,14,Anselmo,1,,,,
37,15,Salvatino,1,,,,
37,16,Anna,2,,,,
37,17,Ennio,1,,,,
37,18,Cesare,1,,,,
38,1,Grant,1,,,,
38,2,Lincoln,1,,,,
38,3,Kate,2,,,,
38,4,William,1,,,,
38,5,Halleck,1,,,,
38,6,Stanton,1,,,,
38,7,McClellan,1,,,,
38,8,Joe,1,,,,
38,9,Burnside,1,,,,
38,10,Bill,1,,,,
38,11,Julia,2,,,,
38,12,Lee,1,,,,
38,13,Stuart,1,,,,
38,14,Chase,1,,,,
38,15,Mrs. Lincoln,2,,,,
38,16,Mrs. Sherman,2,,,,
38,17,Rose,2,,,,
38,18,kleine Rose,2,,,,
39,1,Ik,1,,,,
39,2,H.,1,,,,
39,3,W.,1,,,,
39,4,G.,1,,,,
39,5,Colijn,1,,,,
39,6,Tito,1,,,,
39,7,Hitler,1,,,,
39,8,Mikailowitsj,1,,,,
39,9,M.,1,,,,
39,10,Hirschfeld,1,,,,
39,11,Eichmann,1,,,,
39,12,Badings,1,,,,
39,13,Heusinger,1,,,,
39,14,Göring,1,,,,
39,15,Maclean,1,,,,
39,16,Chassé,1,,,,
39,17,Driekus,1,,,,
39,18,Grüber,1,,,,
40,1,Monica,2,,,,
40,2,Job,1,,,,
40,3,Robert,1,,,,
40,4,Hans,1,,,,
40,5,mevrouw Falck,2,,,,
40,6,Ellen,2,,,,
40,7,Louise,2,,,,
40,8,Bernt,2,,,,
40,9,dokter Alting,1,,,,
40,10,Lily,2,,,,
40,11,Pol,1,,,,
40,12,Jant,2,,,,
40,13,Marianne,2,,,,
40,14,Edward,1,,,,
41,1,Ik,1,,,,
41,2,Dirk,1,,,,
41,3,Daan,1,,,,
41,4,Bart,1,,,,
41,5,Cap,1,,,,
41,6,Ahmad,1,,,,
41,7,Wim,1,,,,
41,8,Hans,1,,,,
41,9,Kees,1,,,,
41,10,Emmy,2,,,,
42,1,Grégoire,1,,,,
42,2,Patrice,1,,,,
42,3,Dzambe,99,,,,
42,4,Matembe,2,,,,
42,5,Damienne,2,,,,
42,6,Vaucel,1,,,,
42,7,Cathérine,2,,,,
42,8,Bolikango,1,,,,
42,9,Marie-Jeanne,2,,,,
42,10,Werther,1,,,,
43,1,Elly,2,,,,
43,2,Ada,2,,,,
43,3,Floor,2,,,,
43,4,Dick,1,,,,
43,5,Marjanne,2,,,,
43,6,Arend,1,,,,
43,7,Karel Buizerd,1,,,,
43,8,Marie,2,,,,
43,9,Aai,1,,,,
43,10,Klinker,1,,,,
43,11,Looier,1,,,,
43,12,Cora,2,,,,
43,13,Jan,1,,,,
43,14,Marien,1,,,,
43,15,Meeuw,1,,,,
43,16,Jeanette,2,,,,
43,17,Emmy,2,,,,
44,1,Peter,1,,,,
44,2,Susan,2,,,,
44,3,Henk,1,,,,
44,4,Bertha,2,,,,
44,5,Nel,2,,,,
44,6,Lien,2,,,,
44,7,Jet,2,,,,
44,8,Steven,1,,,,
44,9,Verhulst,1,,,,
44,10,Arend,1,,,,
44,11,Kees,1,,,,
44,12,Job,1,,,,
45,1,Jojakim,1,,,,
45,2,Louise,2,,,,
45,3,Henri,1,,,,
45,4,Amalia,2,,,,
45,5,Willem,1,,,,
45,6,Frederik Hendrik,1,,,,
45,7,Maurits,1,,,,
45,8,Rebekka,2,,,,
45,9,Elizabeth,2,,,,
45,10,Harold,1,,,,
45,11,Eleonora,2,,,,
46,1,Sera,2,,,,
46,2,Leonard,1,,,,
46,3,Doortje,2,,,,
46,4,Joris,1,,,,
46,5,Stans,1,,,,
46,6,Louis,1,,,,
46,7,Nellie,2,,,,
46,8,Spiedes,1,,,,
46,9,Digna,2,,,,
46,10,Doornstam,1,,,,
46,11,Fosfer,1,,,,
46,12,Valerius,1,,,,
46,13,Casper,1,,,,
47,1,Walijne,2,,,,
47,2,Medusa,2,,,,
47,3,Nicolaas,1,,,,
47,4,Carl,1,,,,
47,5,Tonie,2,,,,
47,6,Bernard,1,,,,
47,7,Louis,1,,,,
47,8,Pipi,1,,,,
48,1,Ab,1,,,,
48,2,Ekke,1,,,,
48,3,Berend,1,,,,
48,4,Piet,1,,,,
48,5,Edith,2,,,,
48,6,Tonia,2,,,,
48,7,Annelot,2,,,,
48,8,Dries,1,,,,
48,9,Dick,1,,,,
48,10,Herman,1,,,,
48,11,Dientje,2,,,,
48,12,Hiltjse,2,,,,
49,1,Ik,1,,,,
49,2,Nicolai,1,,,,
49,3,Mary,2,,,,
49,4,Michelle,2,,,,
49,5,Betty,2,,,,
49,6,François,1,,,,
